Row Labels,Average of PM1.0_CF1_ug/m3,Average of PM2.5_CF1_ug/m3,Average of PM10.0_CF1_ug/m3,Average of Temperature_F
2021-03-25 00:00:00 UTC,5.17,9.24,11.24,9.695
2021-03-26 00:00:00 UTC,7.27,13.02,16.02,9.15
2021-03-27 00:00:00 UTC,9.83,17.67,21.49,9.265
2021-03-28 00:00:00 UTC,6.21,10.46,12.33,9.78
2021-03-29 00:00:00 UTC,1.2,2.18,2.74,9.115
2021-03-30 00:00:00 UTC,4.81,8.58,10.76,8.695
2021-03-31 00:00:00 UTC,9.67,17.07,20.68,10.055
2021-04-01 00:00:00 UTC,8.14,13.75,16.28,10.235
2021-04-02 00:00:00 UTC,1.44,2.56,3.13,10.825
2021-04-03 00:00:00 UTC,5.85,9.93,11.59,10.2
2021-04-04 00:00:00 UTC,1.14,1.99,2.41,12.055
2021-04-05 00:00:00 UTC,2.24,3.98,4.86,9.98
2021-04-06 00:00:00 UTC,5.23,9.17,11.19,9.67
2021-04-07 00:00:00 UTC,3.02,5.48,6.7,10.285
2021-04-08 00:00:00 UTC,1.71,2.82,3.22,10.675
2021-04-09 00:00:00 UTC,2.42,4.22,5.24,8.04
2021-04-10 00:00:00 UTC,2.66,4.84,6.08,9.32
2021-04-11 00:00:00 UTC,1.7,3.08,3.88,8.85
2021-04-12 00:00:00 UTC,2.62,4.54,5.49,10.67
2021-04-13 00:00:00 UTC,2.34,3.99,4.8,13.665
2021-04-14 00:00:00 UTC,5.8,9.27,10.52,16.315
2021-04-15 00:00:00 UTC,3.58,6.01,7.03,16.995
2021-04-16 00:00:00 UTC,6.63,9.92,10.97,17.83
2021-04-17 00:00:00 UTC,4.48,6.79,7.56,18.565
2021-04-18 00:00:00 UTC,6.68,9.78,10.6,18.505
2021-04-19 00:00:00 UTC,8.86,13.99,15.84,17.985
2021-04-20 00:00:00 UTC,4.03,6.05,6.65,17.045
2021-04-21 00:00:00 UTC,5.43,8.27,9.24,16.555
2021-04-22 00:00:00 UTC,4.11,6.89,8.2,14.84
2021-04-23 00:00:00 UTC,7.85,14.01,17.08,12.565
2021-04-24 00:00:00 UTC,2.87,4.73,5.52,12.59
2021-04-25 00:00:00 UTC,1.76,2.74,3.04,11.6
2021-04-26 00:00:00 UTC,4,6.58,7.34,12.43
2021-04-27 00:00:00 UTC,2.55,4.05,4.54,13.04
2021-04-28 00:00:00 UTC,2.52,4,4.47,14.11
2021-04-29 00:00:00 UTC,4.01,6.42,7.19,15.915
2021-04-30 00:00:00 UTC,2.28,3.54,3.94,15.68
2021-05-01 00:00:00 UTC,0.89,1.44,1.72,15.42
2021-05-02 00:00:00 UTC,1.78,2.91,3.48,14.375
2021-05-03 00:00:00 UTC,2.43,3.94,4.54,12.235
2021-05-04 00:00:00 UTC,5.07,7.9,8.56,15.14
2021-05-05 00:00:00 UTC,2.71,4.4,5.13,13.135
2021-05-06 00:00:00 UTC,4.34,6.99,8.01,14.9
2021-05-07 00:00:00 UTC,1.04,1.91,2.4,13.33
2021-05-08 00:00:00 UTC,1.49,2.68,3.38,13.175
2021-05-09 00:00:00 UTC,3.43,5.4,5.99,13.705
2021-05-10 00:00:00 UTC,3.87,6.47,7.3,14.985
2021-05-11 00:00:00 UTC,2.13,3.48,3.99,16.41
2021-05-12 00:00:00 UTC,5.17,8.21,9.14,15.875
2021-05-13 00:00:00 UTC,3.53,5.64,6.19,17.975
2021-05-14 00:00:00 UTC,5.46,8.95,10.2,18.78
2021-05-15 00:00:00 UTC,3.17,5.24,5.96,18.225
2021-05-16 00:00:00 UTC,3.7,6,6.77,18.73
2021-05-17 00:00:00 UTC,2.92,5.09,6.04,16.495
2021-05-18 00:00:00 UTC,1.07,1.73,2.01,13.305
2021-05-19 00:00:00 UTC,1,1.58,1.84,14
2021-05-20 00:00:00 UTC,1.79,2.94,3.46,15.64
2021-05-21 00:00:00 UTC,3.09,5.02,5.97,16.805
2021-05-22 00:00:00 UTC,7.55,12.31,14.02,16.055
2021-05-23 00:00:00 UTC,3.12,5.25,6.01,15.51
2021-05-24 00:00:00 UTC,1.42,2.25,2.5,15.225
2021-05-25 00:00:00 UTC,3.66,5.48,5.84,15.36
2021-05-26 00:00:00 UTC,1.12,1.78,2.07,14.755
2021-05-27 00:00:00 UTC,2.66,4.24,4.77,15.195
2021-05-28 00:00:00 UTC,0.5,0.87,1.07,15.64
2021-05-29 00:00:00 UTC,1.95,3.22,3.73,16.485
2021-05-30 00:00:00 UTC,3.42,5.22,5.8,16.105
2021-05-31 00:00:00 UTC,3.47,5.17,5.71,20.3
2021-06-01 00:00:00 UTC,5.03,7.89,9.07,23.695
2021-06-02 00:00:00 UTC,3.29,4.74,5.21,23.515
2021-06-03 00:00:00 UTC,1.44,2.33,2.84,21.785
2021-06-04 00:00:00 UTC,0.88,1.43,1.78,19.82
