Year,ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2021,Rufous Male,-,-,-,254,380,23,8,2,1,0,-,-,668
2021,Rufous Female,-,-,-,547,2936,4576,1745,83,36,1,-,-,9924
2021,Annas Male,-,-,-,128,195,14,65,138,314,18,-,-,872
2021,Annas Female,-,-,-,6,348,328,240,1155,993,27,-,-,3097
2021,Total,-,-,-,935,3859,4941,2058,1378,1344,46,-,-,14561
2022,Rufous Male,-,-,33,676,178,914,15,2,4,7,1,67,1897
2022,Rufous Female,-,-,19,2445,238,687,959,22,17,14,60,35,4496
2022,Annas Male,-,-,255,497,55,99,76,311,274,93,369,349,2378
2022,Annas Female,-,-,48,718,60,363,321,836,306,165,860,802,4479
2022,Total,-,-,341,6105,591,1836,2315,1191,614,286,1349,1221,15849
2023,Rufous Male,1,16,178,1389,537,529,44,5,6,22,1,-,2728
2023,Rufous Female,20,7,67,1127,943,1645,2634,77,137,21,29,-,6707
2023,Annas Male,518,338,586,726,59,29,71,433,374,45,44,-,3223
2023,Annas Female,198,146,884,1376,281,343,336,634,1049,179,199,-,5625
2023,Total,737,507,1715,4618,1820,2546,3085,1149,1566,267,273,-,18283
Grand Total, ,744,513,2116,9978,6374,9615,6626,3804,3574,614,1581,1261,46800
