Subspecies,iNat_Obs,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ANDRENIDAE,Andreninae,,,Andrena,*********Unplaced,Andrena angustifovea
,,ANDRENIDAE,Andreninae,,,Andrena,*********Unplaced,Andrena excellens
,,ANDRENIDAE,Andreninae,,,Andrena,*********Unplaced,Andrena fulvicrista
,,ANDRENIDAE,Andreninae,,,Andrena,*********Unplaced,Andrena lillooetensis
,,ANDRENIDAE,Andreninae,,,Andrena,*********Unplaced,Andrena revelstokensis
,,ANDRENIDAE,Andreninae,,,Andrena,*********Unplaced,Andrena singularis
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena aculeata
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena buckelli
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena ceanothifloris
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena clarkella
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena edwardsi
,4,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena frigida
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena hemileuca
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena laminibucca
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena macoupinensis
,5,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena milwaukeensis
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena perarmata
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena rufosignata
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena saccata
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena schuhi
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena thaspii
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena topazana
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena vicinoides
,,ANDRENIDAE,Andreninae,,,Andrena,Andrena,Andrena washingtoni
,,ANDRENIDAE,Andreninae,,,Andrena,Cnemidandrena,Andrena colletina
,3,ANDRENIDAE,Andreninae,,,Andrena,Cnemidandrena,Andrena columbiana
,,ANDRENIDAE,Andreninae,,,Andrena,Cnemidandrena,Andrena costillensis
,,ANDRENIDAE,Andreninae,,,Andrena,Cnemidandrena,Andrena nubecula
,,ANDRENIDAE,Andreninae,,,Andrena,Cnemidandrena,Andrena runcinatae
