"Subspecies","iNat_Obs","Source","Family","Subfamily","Tribe","Subtribe","Genus","Subgenus","Species"
,326,"ITIS","Halictidae","Halictinae","Halictini",,"Agapostemon",,"Agapostemon texanus"
,326,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Agapostemon","Agapostemon","Agapostemon texanus"
,91,"ITIS","Halictidae","Halictinae","Halictini",,"Agapostemon",,"Agapostemon virescens"
,91,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Agapostemon","Agapostemon","Agapostemon virescens"
,3,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena amphibola"
,3,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Trachandrena","Andrena amphibola"
,31,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena astragali"
,31,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Euandrena","Andrena astragali"
,6,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena auricoma"
,6,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Euandrena","Andrena auricoma"
,1,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena barbilabris"
,1,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Leucandrena","Andrena barbilabris"
,3,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena columbiana"
,3,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Cnemidandrena","Andrena columbiana"
,6,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena crataegi"
,6,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Plastandrena","Andrena crataegi"
,4,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena frigida"
,4,"Sheffield&Heron","ANDRENIDAE","Andreninae",,,"Andrena","Andrena","Andrena frigida"
,5,"ITIS","Andrenidae","Andreninae","Andrenini",,"Andrena",,"Andrena milwaukeensis"
