Subspecies,iNat_Obs,Source,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum argentinum
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum calchaqui
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum colombiense
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum fernandezi
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum inauratum
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum maculatum
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum melanogaster
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum nigritarse
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum prinii
,,NCBI,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum prinii
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum submetallicum
,,NCBI,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum submetallicum
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum tintin
,,ITIS,Andrenidae,Panurginae,Calliopsini,,Acamptopoeum,,Acamptopoeum vagans
,,ITIS,Apidae,Apinae,Ericrocidini,,Acanthopus,,Acanthopus excellens
,,NCBI,Apidae,Apinae,Ericrocidini,,Acanthopus,,Acanthopus excellens
,,ITIS,Apidae,Apinae,Ericrocidini,,Acanthopus,,Acanthopus palmatus
,,NCBI,Apidae,Apinae,Ericrocidini,,Acanthopus,,Acanthopus palmatus
,,NCBI,Apidae,Apinae,Ericrocidini,,Acanthopus,,Acanthopus sp. ACM-2017
,,NCBI,Apidae,Apinae,Ericrocidini,,Acanthopus,,Acanthopus sp. TJLS-2021
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Acedanthidium,,Acedanthidium flavoclypeatum
,,NCBI,Colletidae,Paracolletinae,,,Actenosigynes,,Actenosigynes fulvoniger
,,ITIS,Apidae,Nomadinae,Ammobatoidini,,Aethammobates,,Aethammobates prionogaster
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium (Nigranthidium) sp. JRL-2016
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium (Nigranthidium) sp. n. 1 JRL-2016
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium abdominale
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium abdominale
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium ablusum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium alaemon
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium alternans
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium alternans
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium angulatellum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium angulatum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium biangulatum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium biserratum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium bispinosum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium capicola
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium capicola
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium carduele
